frame,id,nose_x,nose_y
312,1,1113,343
312,3,1281,456
312,8,2521,376
312,52,2351,364
312,41,2734,458
313,1,1115,343
313,3,1295,455
313,8,2516,385
313,52,2347,365
313,41,2714,450
314,1,1113,342
314,3,1282,460
314,8,2495,382
314,52,2340,365
314,41,2701,460
315,1,1112,341
315,3,1276,466
315,8,2488,385
315,52,2336,365
316,1,1110,341
316,3,1265,464
316,8,2474,385
317,1,1109,339
317,3,1265,453
317,8,2459,375
317,41,2723,469
318,1,1109,339
318,3,1234,456
318,8,2455,373
318,41,2723,461
318,52,2329,362
319,1,1109,339
319,3,1228,457
319,8,2445,382
319,41,2712,455
319,52,2328,362
320,1,1095,337
320,3,1223,455
320,8,2435,382
320,41,2686,456
320,52,2321,362
321,1,1096,338
321,3,1240,450
321,8,2430,379
321,41,2689,472
321,52,2322,363
322,1,1094,340
322,3,1232,451
322,8,2444,373
322,41,2669,475
322,52,2318,361
323,1,1094,340
323,3,1210,446
323,8,2430,379
323,41,2635,467
323,52,2319,360
324,1,1096,340
324,3,1216,445
324,8,2431,378
324,41,2618,472
324,52,2318,361
325,1,1098,342
325,3,1219,446
325,8,2416,377
325,52,2315,361
326,1,1098,342
326,3,1206,449
326,8,2388,395
326,52,2310,361
326,41,2609,456
327,1,1094,344
327,3,1190,452
327,8,2382,388
327,52,2289,359
328,1,1094,340
328,3,1165,448
328,8,2376,393
328,52,2293,362
328,41,2604,463
329,1,1093,339
329,3,1148,453
329,8,2371,397
329,52,2295,361
329,41,2584,468
330,1,1095,339
330,3,1178,446
330,8,2381,384
330,52,2297,359
330,41,2580,463
331,1,1100,338
331,3,1206,444
331,8,2361,394
331,52,2296,355
331,41,2555,469
332,1,1098,339
332,3,1204,440
332,8,2340,388
332,52,2296,355
332,41,2564,460
333,1,1094,340
333,3,1197,437
333,8,2344,384
333,41,2560,466
334,1,1091,338
334,3,1195,441
334,8,2332,377
334,41,2521,461
335,1,1089,335
335,3,1177,442
335,8,2319,378
336,1,1088,337
336,3,1163,440
336,8,2309,380
336,41,2501,455
337,1,1090,338
337,3,1153,430
337,8,2293,385
337,41,2497,450
338,1,1091,339
338,3,1155,427
338,8,2283,393
339,1,1096,341
339,3,1158,429
339,8,2280,383
339,41,2491,444
340,1,1098,342
340,3,1161,431
340,8,2266,399
340,41,2474,441
341,1,1098,342
341,3,1175,432
341,8,2258,398
341,41,2459,407
341,55,1151,429
342,1,1107,342
342,3,1154,421
342,8,2252,392
342,41,2446,435
342,55,1154,431
343,1,1113,345
343,3,1154,415
343,8,2243,395
343,41,2455,455
344,1,1119,347
344,8,2234,398
345,1,1122,349
345,8,2225,396
346,1,1122,351
346,8,2216,397
347,1,1125,353
347,8,2206,397
348,1,1126,353
348,8,2192,398
349,1,1127,352
349,8,2181,406
350,1,1127,353
350,8,2174,401
351,1,1130,354
351,8,2165,399
352,1,1132,354
352,8,2157,401
352,41,2347,392
353,1,1133,356
353,8,2150,396
354,1,1135,357
354,8,2144,404
354,41,2343,460
355,1,1137,359
355,8,2134,407
355,41,2310,435
356,1,1140,359
356,8,2122,398
356,41,2317,449
357,1,1141,362
357,8,2111,401
357,41,2303,448
358,1,1142,361
358,8,2103,419
358,41,2290,425
359,1,1144,363
359,8,2098,408
359,41,2299,449
360,1,1146,364
360,8,2087,410
361,1,1148,365
361,8,2081,420
361,41,2278,420
362,1,1150,365
362,8,2075,415
362,41,2268,419
363,1,1152,368
363,8,2066,412
363,41,2262,441
364,1,1151,368
364,8,2055,413
365,1,1152,368
365,8,2045,416
366,1,1153,369
366,8,2040,403
367,1,1155,368
367,8,2038,395
368,1,1156,366
368,8,2027,397
369,1,1160,365
369,8,2011,388
370,1,1160,366
370,8,2005,385
371,1,1160,364
371,8,1988,387
372,1,1162,364
372,8,1982,382
373,1,1163,361
373,8,1972,390
374,1,1167,360
374,8,1963,383
375,1,1166,360
375,8,1954,384
375,60,908,455
376,1,1170,358
376,8,1938,380
376,60,896,470
376,64,890,466
376,66,3840,105
377,1,1173,357
377,8,1936,376
377,60,885,466
377,64,884,461
377,66,3837,117
378,1,1173,350
378,8,1925,376
378,60,878,457
378,64,867,455
378,66,3840,124
379,1,1161,355
379,8,1920,382
379,60,882,457
379,64,843,453
379,73,3840,131
380,1,1166,354
380,8,1908,379
380,60,865,454
380,64,823,446
380,73,3840,127
381,1,1159,353
381,8,1889,371
381,60,872,456
381,64,800,440
381,73,3829,109
381,78,820,441
382,1,1182,345
382,8,1888,378
382,60,817,412
382,64,759,436
382,73,3821,96
382,78,776,434
382,81,2088,311
383,1,1179,345
383,8,1885,373
383,60,750,436
383,73,3816,89
383,78,746,434
383,81,2133,309
384,1,1182,342
384,8,1876,373
384,60,705,438
384,73,3824,117
384,78,701,440
384,81,2126,312
385,1,1182,342
385,8,1869,369
385,60,674,444
385,73,3818,105
385,78,712,456
385,81,2113,315
385,64,694,448
386,1,1184,342
386,8,1856,362
386,60,672,443
386,73,3817,62
386,64,679,446
387,1,1186,341
387,8,1840,356
387,60,693,450
387,73,3815,40
387,64,671,451
388,1,1179,343
388,8,1850,361
388,73,3800,56
388,64,657,446
389,1,1182,341
389,8,1824,365
389,73,3827,28
389,64,649,443
390,1,1182,339
390,8,1812,364
390,73,3828,32
390,64,649,442
391,1,1172,343
391,8,1802,360
391,73,3810,34
391,64,642,439
392,1,1172,341
392,8,1784,348
392,73,3761,145
392,64,636,436
393,1,1173,339
393,8,1778,346
393,73,3751,203
393,64,635,438
394,1,1173,338
394,8,1768,348
394,73,3766,188
394,64,624,438
395,1,1173,335
395,8,1753,351
395,73,3768,18
395,64,617,433
396,1,1176,334
396,8,1742,348
396,73,3758,20
396,64,608,434
397,1,1181,332
397,8,1727,354
397,73,3709,98
397,64,606,438
398,1,1193,320
398,8,1728,348
398,73,3686,213
398,64,602,434
399,1,1197,315
399,8,1728,349
399,73,3662,207
399,64,589,434
400,1,1198,313
400,8,1718,353
400,73,3650,210
400,60,597,426
401,1,1194,313
401,8,1705,349
401,73,3647,201
401,60,589,427
402,1,1198,308
402,8,1707,345
402,73,3631,195
402,60,579,425
403,1,1196,306
403,8,1703,343
403,73,3612,203
403,60,575,424
404,1,1198,304
404,8,1692,334
404,73,3605,219
404,60,569,422
405,1,1197,301
405,8,1671,334
405,73,3596,216
405,60,565,424
406,1,1198,300
406,8,1651,326
406,73,3589,223
406,60,559,417
407,1,1183,303
407,8,1654,318
407,73,3580,221
407,60,537,410
408,1,1183,302
408,8,1654,316
408,73,3568,223
408,60,526,416
409,1,1184,302
409,8,1635,315
409,73,3561,224
409,60,517,422
410,1,1186,300
410,8,1634,328
410,73,3545,223
410,60,510,418
411,1,1187,297
411,8,1623,332
411,73,3535,218
411,60,499,415
412,1,1188,296
412,8,1611,326
412,73,3520,237
412,60,492,418
413,1,1187,292
413,8,1605,328
413,73,3509,241
413,60,483,415
414,1,1186,288
414,8,1595,331
414,73,3500,235
414,60,475,413
415,1,1188,287
415,8,1595,333
415,73,3493,237
415,60,470,417
416,1,1188,285
416,8,1580,329
416,73,3482,236
416,60,469,418
417,1,1187,285
417,8,1571,327
417,73,3479,254
417,60,463,418
418,1,1187,284
418,8,1569,330
418,73,3464,250
418,60,456,417
419,1,1187,282
419,8,1542,334
419,73,3453,243
419,60,441,417
420,1,1185,282
420,8,1541,348
420,73,3430,247
420,60,434,417
421,1,1183,280
421,8,1523,339
421,73,3420,251
421,60,427,421
422,1,1180,280
422,8,1556,350
422,73,3413,249
422,60,405,422
423,1,1180,281
423,8,1533,361
423,73,3402,248
423,60,397,426
424,1,1181,283
424,8,1500,349
424,73,3391,249
424,60,388,428
425,1,1191,268
425,8,1492,351
425,73,3383,251
425,60,381,429
426,1,1190,267
426,8,1500,346
426,73,3375,243
426,60,370,429
427,1,1190,267
427,8,1544,342
427,73,3373,251
427,60,366,430
428,1,1188,266
428,8,1610,371
428,73,3358,241
428,60,363,428
429,1,1188,270
429,8,1498,350
429,73,3343,236
429,60,357,430
430,1,1188,269
430,8,1462,360
430,73,3317,238
430,60,357,435
431,1,1189,269
431,8,1485,364
431,73,3313,238
431,60,355,435
432,1,1187,269
432,8,1504,367
432,73,3316,244
432,60,351,438
433,1,1194,269
433,8,1456,356
433,73,3301,238
433,60,343,437
434,1,1195,268
